time,RegionID,Zipcode,City,State,Metro,CountyName,SizeRank,AveragePrice,ROI,value
1996-09-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,101600.0
1996-09-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,192900.0
1996-09-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,289800.0
1996-10-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,308100.0
1996-10-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,131500.0
1996-10-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,140700.0
1996-10-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,150200.0
1996-10-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,145400.0
1996-10-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,558300.0
1996-10-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,102300.0
1996-10-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,193500.0
1996-10-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,291700.0
1996-11-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,309400.0
1996-11-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,131800.0
1996-11-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,141400.0
1996-11-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,151300.0
1996-11-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,145600.0
1996-11-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,558800.0
1996-11-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,103100.0
1996-11-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,194200.0
1996-11-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,293500.0
1996-12-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,311400.0
1996-12-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,132400.0
1996-12-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,142300.0
1996-12-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,152700.0
1996-12-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,146100.0
1996-12-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,560000.0
1996-12-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,104100.0
1996-12-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,195100.0
1996-12-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,295400.0
1997-01-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,314000.0
1997-01-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,133100.0
1997-01-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,143500.0
1997-01-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,154100.0
